20201206 150200;12503.5;12503.5;12503.5;12503.5;1
20201206 230100;12527.5;12563.5;12527.5;12563.5;7
20201206 230200;12557.75;12558.5;12557.75;12558.5;3
20201206 230400;12552.75;12555;12552.75;12555;6
20201206 230800;12550.75;12550.75;12550.75;12550.75;12
20201206 230900;12550.75;12552;12550.75;12552;12
20201206 231000;12554.25;12554.25;12554.25;12554.25;14
20201206 231100;12554.75;12554.75;12553;12553;3
20201206 231200;12550;12550;12550;12550;1
20201206 231300;12550;12550;12550;12550;1
20201206 231900;12540;12540;12540;12540;1
20201206 232400;12543.5;12545.25;12543;12545.25;4
20201206 232500;12550;12550;12550;12550;1
20201206 233100;12552;12552.25;12548.75;12549;6
20201206 233200;12544;12544;12543.75;12543.75;2
20201206 233300;12543.75;12543.75;12543.75;12543.75;1
20201206 233400;12545.5;12545.5;12545.5;12545.5;1
20201206 233900;12548.75;12548.75;12544.25;12544.25;2
20201206 234100;12546.25;12546.25;12546.25;12546.25;1
20201206 234400;12548.75;12548.75;12548.75;12548.75;2
20201206 235200;12546.5;12546.5;12546.5;12546.5;1
20201206 235400;12547.25;12547.25;12547.25;12547.25;1
20201206 235500;12547.5;12547.5;12547.5;12547.5;1
20201206 235600;12547;12547;12547;12547;1
20201206 235700;12544.25;12544.25;12544.25;12544.25;1
20201206 235800;12546;12546;12546;12546;1
20201207 000100;12541.25;12541.25;12541.25;12541.25;1
20201207 000400;12537.5;12537.5;12537.5;12537.5;1
20201207 000500;12539.5;12539.5;12539.5;12539.5;1
20201207 000700;12539.25;12539.25;12539.25;12539.25;1
20201207 000800;12539;12539;12530;12530;10
20201207 000900;12525;12528.25;12523.25;12528;7
20201207 001000;12529.75;12529.75;12527;12529;4
20201207 001100;12530.75;12531;12530.75;12531;2
20201207 001200;12531.75;12531.75;12531.75;12531.75;1
20201207 001300;12530.5;12530.5;12528.75;12528.75;4
20201207 001400;12529;12529;12529;12529;1
20201207 001800;12528.75;12528.75;12528.75;12528.75;1
20201207 002000;12530;12530;12530;12530;1
20201207 002100;12532.75;12535.25;12532.75;12535.25;3
20201207 002300;12536.25;12536.25;12536.25;12536.25;1
20201207 002400;12535;12535;12535;12535;1
20201207 002500;12535.75;12536.5;12535;12536.5;5
20201207 002600;12535.25;12536.75;12535.25;12536.75;3
20201207 002700;12537;12537.5;12537;12537.5;3
20201207 002900;12537.75;12537.75;12537.75;12537.75;1
20201207 003000;12537;12538.5;12537;12538.5;3
20201207 003400;12539.75;12539.75;12539.75;12539.75;1
20201207 003500;12538.25;12538.75;12538.25;12538.75;4
20201207 003700;12537;12537;12537;12537;1
20201207 003800;12536.25;12536.25;12536.25;12536.25;1
20201207 003900;12537.75;12537.75;12537.75;12537.75;1
20201207 004100;12538.25;12538.25;12538.25;12538.25;1
20201207 004200;12540.75;12540.75;12540.75;12540.75;1
20201207 004300;12540.5;12540.5;12540.5;12540.5;1
20201207 004500;12539.75;12541;12539.75;12541;2
20201207 004700;12543;12543;12541.5;12541.5;2
20201207 005400;12541;12542.5;12541;12542.5;4
20201207 005500;12546;12549.75;12546;12549.75;7
20201207 005600;12550;12551;12547.5;12548.75;8
20201207 005800;12547.5;12547.5;12545.75;12546.25;6
20201207 005900;12545.75;12545.75;12544.75;12545.75;4
20201207 010000;12544.75;12546;12544.75;12546;6
20201207 010100;12544.5;12546.5;12544.5;12546.5;3
20201207 010200;12547;12547;12547;12547;1
20201207 010300;12548.75;12548.75;12547.75;12547.75;2
20201207 010400;12549;12549.75;12549;12549.75;2
20201207 010500;12550;12550;12550;12550;1
20201207 010600;12549.25;12549.25;12549.25;12549.25;1
20201207 010700;12546.75;12546.75;12546.75;12546.75;1
20201207 010800;12544.5;12544.5;12542.25;12542.25;2
20201207 010900;12540.5;12540.5;12540.5;12540.5;1
20201207 011000;12540;12540;12540;12540;1
20201207 011100;12539.5;12539.5;12539.5;12539.5;1
20201207 011300;12538.75;12540.5;12538.75;12540.5;2
20201207 011400;12539.25;12541.25;12539.25;12541.25;4
20201207 011500;12542;12542;12533.25;12533.25;7
20201207 011600;12536.25;12539.75;12535.5;12539.75;11
