20211205 163100;15691.25;15691.25;15691.25;15691.25;2
20211205 230100;15730;15731.25;15700;15700;17
20211205 230200;15700.5;15708.25;15693.75;15693.75;34
20211205 230300;15693.75;15705.5;15693.75;15705.5;10
20211205 230400;15710.25;15727.25;15710.25;15727.25;14
20211205 230500;15730;15730;15721.25;15721.25;11
20211205 230600;15731.5;15737.25;15731.5;15734.25;7
20211205 230700;15734.25;15742.75;15734.25;15742.75;3
20211205 230800;15740.25;15742.75;15732.5;15732.5;30
20211205 230900;15742.25;15743;15742.25;15743;2
20211205 231000;15738.25;15738.25;15735;15737.25;5
20211205 231100;15738.25;15739;15738.25;15739;3
20211205 231200;15746;15746;15746;15746;3
20211205 231300;15737.5;15737.5;15737.5;15737.5;1
20211205 231400;15737.5;15737.75;15737;15737;4
20211205 231500;15738;15739;15735;15735;4
20211205 231700;15733.75;15735;15732.5;15735;3
20211205 231900;15726;15726;15726;15726;1
20211205 232200;15712.5;15712.5;15710.5;15710.5;3
20211205 232300;15720;15720;15720;15720;1
20211205 232400;15710.75;15710.75;15710.75;15710.75;1
20211205 232500;15711.5;15711.5;15694.25;15694.25;9
20211205 232600;15695.5;15695.5;15690;15690;7
20211205 232700;15694;15694;15694;15694;5
20211205 232900;15710.75;15713.75;15710.75;15713.75;10
20211205 233000;15714;15714.5;15714;15714.5;3
20211205 233100;15720.25;15720.5;15718.5;15718.5;6
20211205 233200;15721.25;15721.25;15721.25;15721.25;1
20211205 233300;15723.5;15723.75;15723.5;15723.75;20
20211205 233400;15735;15735;15733;15733;7
20211205 233500;15737.5;15737.5;15735;15736.25;4
20211205 233600;15737.5;15738;15737.25;15737.25;4
20211205 233700;15737.25;15737.25;15737.25;15737.25;4
20211205 233800;15740;15740;15740;15740;1
20211205 233900;15740.25;15740.5;15740.25;15740.5;2
20211205 234000;15739;15739;15739;15739;1
20211205 234100;15739.75;15739.75;15739.75;15739.75;4
20211205 234200;15739.75;15739.75;15739.75;15739.75;1
20211205 234600;15740.5;15740.5;15740.25;15740.25;2
20211205 234800;15733.75;15733.75;15731;15731;7
20211205 234900;15740;15740;15740;15740;1
20211205 235000;15743;15743;15743;15743;1
20211205 235100;15745.25;15746.5;15745.25;15746.5;2
20211205 235300;15745.75;15747.25;15745.75;15746.5;4
20211205 235400;15750;15750;15747.25;15747.25;2
20211205 235500;15747.25;15747.25;15747;15747;3
20211205 235600;15747;15747;15747;15747;1
20211205 235800;15752.25;15755;15752.25;15755;2
20211205 235900;15752.25;15754.75;15751;15753;15
20211206 000300;15738;15740.5;15738;15740.5;4
20211206 000400;15748.75;15748.75;15745.25;15745.25;2
20211206 000900;15738;15738;15735;15735;4
20211206 001100;15742;15742;15742;15742;1
20211206 001200;15737.25;15737.25;15723;15723;6
20211206 001300;15721.25;15721.25;15712.5;15712.75;4
20211206 001400;15710;15710;15710;15710;2
20211206 001500;15713;15713;15700;15700;7
20211206 001600;15700.75;15707.25;15700.75;15703.25;8
20211206 001700;15696.5;15707;15696.5;15707;5
20211206 001800;15701.75;15701.75;15690.75;15690.75;3
20211206 001900;15693;15695.75;15688.75;15691.5;9
20211206 002000;15684.5;15684.5;15681.75;15684;5
20211206 002100;15698;15706.25;15698;15706.25;12
20211206 002200;15706.25;15706.75;15706.25;15706.75;3
20211206 002400;15706;15706;15705.75;15705.75;2
20211206 002500;15700;15703.75;15698.25;15703.75;5
20211206 002700;15700.75;15700.75;15700.75;15700.75;1
20211206 002800;15710;15711;15710;15711;2
20211206 002900;15709.5;15714.75;15709.5;15714.5;6
20211206 003000;15711.75;15711.75;15706.75;15710;4
20211206 003100;15713;15713;15713;15713;1
20211206 003200;15710;15710;15710;15710;2
20211206 003300;15704.75;15704.75;15703.75;15703.75;3
20211206 003400;15700;15700;15691.25;15696.75;17
20211206 003500;15697;15697;15697;15697;1
20211206 003600;15695.5;15698.75;15695;15695;10
20211206 003700;15695.5;15701.25;15695.5;15699.25;10
20211206 003800;15703.75;15715.75;15703.75;15714.25;9
20211206 003900;15714.25;15717;15711.5;15715.25;18
20211206 004000;15712.75;15712.75;15711;15712.5;4
20211206 004100;15709.75;15711.5;15708.5;15708.5;5
20211206 004200;15707;15712.5;15705.5;15710.25;16
20211206 004300;15712;15714.25;15710.25;15710.25;8
20211206 004400;15707.5;15709.5;15707.25;15709;7
20211206 004500;15708.5;15723;15708.5;15723;17
20211206 004600;15724.5;15730.25;15724.5;15728.25;8
20211206 004700;15724.75;15724.75;15720.75;15721.75;9
20211206 004800;15722;15722;15720.75;15720.75;5
20211206 004900;15717;15720.75;15717;15720.75;6
20211206 005000;15718.5;15724;15718.5;15723.5;4
20211206 005100;15723;15723.75;15723;15723.75;2
20211206 005200;15719.25;15719.25;15719.25;15719.25;1
20211206 005300;15715.5;15720.25;15715.25;15720.25;4
20211206 005400;15715.5;15715.5;15715.5;15715.5;1
20211206 005500;15724.75;15729.75;15724.75;15729.75;3
20211206 005600;15728.25;15729.5;15724;15724;9
20211206 005700;15726;15726;15726;15726;2
20211206 005800;15729;15731;15728.75;15729.75;7
20211206 005900;15729;15729;15729;15729;1
20211206 010000;15731.75;15734.25;15725.25;15725.25;9
20211206 010100;15724;15729.25;15721.75;15724.75;20
20211206 010200;15725.75;15725.75;15718.75;15719.5;5
20211206 010300;15713;15717.25;15713;15717.25;8
20211206 010400;15713.5;15715.5;15712.25;15715.5;5
20211206 010500;15716.25;15721;15713.5;15713.5;7
20211206 010600;15716.25;15724;15716.25;15723.25;3
20211206 010700;15722;15723.5;15718.75;15723.5;11
20211206 010800;15725;15727.5;15723.5;15727.5;5
20211206 010900;15722;15724;15721;15724;5
20211206 011000;15727.75;15730.75;15726;15730.75;7
20211206 011100;15729;15737.5;15729;15731.5;21
20211206 011200;15734;15736.25;15731.25;15734.75;9
20211206 011300;15735.75;15735.75;15731;15731;4
20211206 011400;15736.25;15736.25;15727.25;15733.25;11
20211206 011500;15726.75;15726.75;15725.25;15725.25;6
20211206 011600;15728;15731.75;15728;15731.75;5
20211206 011700;15728.75;15730;15722.75;15722.75;7
20211206 011800;15722.5;15723.75;15722.5;15723.75;2
20211206 011900;15724.25;15724.25;15724;15724;2
20211206 012000;15729.5;15730;15729.5;15730;3
20211206 012100;15729;15731;15728;15729.25;8
20211206 012300;15733.25;15733.25;15733.25;15733.25;1
20211206 012600;15735.75;15735.75;15735.75;15735.75;2
20211206 012700;15736.5;15736.5;15732.25;15732.25;4
20211206 013000;15729.25;15729.25;15729.25;15729.25;1
20211206 013100;15733;15737;15733;15737;5
20211206 013200;15733.25;15733.25;15727.5;15732.25;4
20211206 013300;15732;15734.25;15727.75;15729.5;6
20211206 013400;15724.75;15724.75;15724.75;15724.75;2
20211206 013500;15721.75;15721.75;15721.75;15721.75;2
20211206 013600;15722.5;15722.5;15722.5;15722.5;1
20211206 013700;15715.5;15715.5;15713.75;15714.25;8
20211206 013800;15714.75;15718.25;15714;15718.25;4
20211206 013900;15723;15723;15721;15721;2
20211206 014000;15718;15721.25;15714.25;15714.25;9
20211206 014100;15716.25;15717;15711.25;15715;10
20211206 014200;15711.75;15713.5;15709.25;15713.5;6
20211206 014300;15715;15719.75;15715;15719.75;6
20211206 014400;15721.25;15721.5;15719.25;15720.25;6
20211206 014500;15717;15717;15712.25;15715.75;19
20211206 014600;15714.75;15721.25;15714.75;15721.25;4
20211206 014700;15720.75;15724.25;15720.75;15724.25;5
20211206 015200;15734.25;15734.5;15734.25;15734.5;3
20211206 015300;15740.5;15740.5;15736.5;15736.5;8
20211206 015400;15735.5;15735.5;15735.5;15735.5;1
20211206 015800;15727.75;15727.75;15723.25;15726;11
20211206 015900;15725.25;15725.25;15725.25;15725.25;1
20211206 020000;15723.75;15723.75;15723.75;15723.75;1
20211206 020200;15726.75;15727.5;15725.75;15727.5;8
20211206 020300;15725.25;15725.5;15723.5;15723.5;7
20211206 020500;15721.25;15721.25;15720;15720;2
20211206 020600;15721.75;15721.75;15721.75;15721.75;2
20211206 020800;15732;15732;15732;15732;1
20211206 020900;15738;15742.5;15736;15737;9
20211206 021200;15740;15740;15740;15740;1
20211206 021400;15735.25;15739.75;15735.25;15739.75;6
20211206 021600;15750;15751;15750;15750.5;4
20211206 021700;15750.5;15750.5;15745;15745;6
20211206 021800;15745.25;15745.25;15744.5;15744.5;3
20211206 021900;15742.25;15742.25;15737;15739;6
20211206 022100;15742.75;15742.75;15742.75;15742.75;1
20211206 022300;15747;15747;15745.5;15745.75;3
20211206 022500;15742.5;15742.5;15742.5;15742.5;1
20211206 022600;15743.75;15743.75;15742.75;15742.75;2
20211206 022700;15739;15739;15739;15739;2
20211206 022800;15739;15745.5;15739;15745.5;4
20211206 022900;15745.25;15745.25;15741.25;15741.25;6
20211206 023100;15735.75;15735.75;15735.5;15735.5;2
20211206 023200;15732;15737.75;15732;15735;17
20211206 023300;15737.75;15737.75;15737.75;15737.75;2
20211206 023400;15737.25;15737.25;15737.25;15737.25;1
20211206 023600;15742;15745;15742;15745;5
20211206 023700;15740.25;15742.5;15739.5;15742.5;3
20211206 024000;15745;15745;15740.25;15740.25;2
20211206 024100;15743.5;15743.5;15743.5;15743.5;1
20211206 024200;15745;15745;15742.75;15742.75;4
20211206 024300;15737.75;15737.75;15737.75;15737.75;1
20211206 024400;15737.75;15737.75;15737.75;15737.75;1
20211206 024500;15737.25;15741.25;15737.25;15741.25;6
20211206 024600;15743.25;15743.25;15742;15742;3
20211206 024700;15741.25;15741.25;15739;15739;7
20211206 024800;15737.5;15739.5;15737.5;15739.5;4
20211206 024900;15741.5;15741.5;15741.5;15741.5;1
20211206 025000;15745;15745;15745;15745;2
20211206 025200;15744.5;15745.75;15744.5;15745.75;3
20211206 025400;15744;15744;15744;15744;1
20211206 025700;15750;15750;15750;15750;3
20211206 030000;15746.75;15748;15745.25;15745.25;4
20211206 030100;15747.5;15752.25;15747.5;15752.25;6
20211206 030200;15749.75;15749.75;15749.5;15749.5;2
20211206 030400;15750.25;15750.25;15746.75;15746.75;2
20211206 030900;15748.5;15748.5;15748.5;15748.5;1
20211206 031500;15742.5;15742.5;15742.5;15742.5;2
20211206 031600;15741;15741;15740;15740;2
20211206 031700;15744.25;15744.25;15744.25;15744.25;1
20211206 031900;15741.75;15741.75;15741.75;15741.75;2
20211206 032000;15742.25;15742.25;15742.25;15742.25;2
20211206 032300;15739.5;15739.5;15739.5;15739.5;2
20211206 032500;15744.75;15744.75;15744.75;15744.75;1
20211206 032600;15746;15746;15743.5;15743.5;3
20211206 032800;15739.75;15739.75;15739.75;15739.75;1
20211206 032900;15738.25;15738.25;15738.25;15738.25;2
20211206 033000;15735.75;15735.75;15735.75;15735.75;1
20211206 033200;15737.5;15738;15737.5;15738;3
20211206 033300;15735;15735;15735;15735;1
20211206 033500;15731.5;15731.5;15731.5;15731.5;1
20211206 033800;15734.5;15735.25;15733.5;15733.5;3
20211206 033900;15731.5;15731.5;15731.5;15731.5;1
20211206 034300;15732.75;15732.75;15732.75;15732.75;4
20211206 034500;15739.5;15739.5;15739.5;15739.5;1
20211206 034600;15736.75;15739.75;15735;15735;7
20211206 034700;15736.75;15736.75;15734.5;15734.5;3
20211206 034800;15736;15738.75;15736;15736.5;7
20211206 034900;15739.5;15740;15736.75;15736.75;5
20211206 035000;15735;15735;15732.75;15733.75;5
20211206 035200;15734.25;15734.25;15733.5;15733.5;2
20211206 035300;15735;15735;15735;15735;1
20211206 040000;15737;15737;15737;15737;1
20211206 040100;15741.25;15744.75;15740;15744.75;9
20211206 040300;15742.5;15742.5;15742.5;15742.5;1
20211206 040400;15742.25;15742.25;15742.25;15742.25;1
20211206 040500;15738.75;15739;15738.75;15739;2
20211206 040600;15737;15739.25;15735.25;15739.25;6
20211206 040700;15738.5;15738.5;15737.25;15737.25;2
20211206 041600;15738.25;15742.25;15738.25;15742.25;4
20211206 041800;15746.25;15746.25;15746.25;15746.25;1
