20240307 050800;18223;18223;18223;18223;1
20240307 050900;18224;18225;18224;18225;2
20240307 051200;18223;18223;18223;18223;1
20240307 051300;18226.5;18226.5;18226.5;18226.5;1
20240307 051500;18227.75;18227.75;18227.75;18227.75;1
20240307 051900;18229.75;18230;18229.75;18230;7
20240307 052000;18230.5;18230.5;18230.5;18230.5;1
20240307 052200;18230;18231.75;18230;18231.75;5
20240307 052300;18233.25;18234.75;18233.25;18233.75;11
20240307 052800;18227.75;18227.75;18227;18227;3
20240307 052900;18228.5;18228.75;18228.5;18228.75;2
20240307 053200;18228.75;18228.75;18228.75;18228.75;1
20240307 053700;18220;18220;18220;18220;1
20240307 054200;18225;18225;18225;18225;1
20240307 054900;18222.75;18222.75;18219;18220;20
20240307 055000;18218;18223.25;18218;18223.25;11
20240307 055100;18223.5;18223.5;18217.25;18217.25;14
20240307 055200;18220;18220;18220;18220;1
20240307 055600;18225.75;18225.75;18225.75;18225.75;1
20240307 055700;18226.5;18226.5;18226.5;18226.5;1
20240307 055900;18226;18226;18225.25;18225.25;2
20240307 060100;18222;18222;18222;18222;1
20240307 060500;18224;18224;18224;18224;1
20240307 060600;18223.5;18224.25;18223.5;18224.25;2
20240307 060800;18227.5;18227.5;18223.75;18223.75;2
20240307 061100;18223;18223;18223;18223;1
20240307 061200;18220;18220;18220;18220;10
20240307 061400;18220;18220;18220;18220;1
20240307 061700;18219.5;18219.5;18219.5;18219.5;1
20240307 062500;18231.5;18231.5;18231.5;18231.5;1
20240307 063200;18237;18237.25;18237;18237.25;2
20240307 063400;18231.75;18231.75;18231.75;18231.75;1
20240307 063500;18235;18235;18235;18235;1
20240307 063900;18232;18232;18232;18232;1
20240307 064000;18230;18230;18230;18230;5
20240307 064100;18233.5;18233.5;18233.5;18233.5;1
20240307 064400;18227.25;18227.25;18226;18226;5
20240307 064500;18224.75;18224.75;18222;18222;3
20240307 064600;18218;18218;18218;18218;1
20240307 064900;18216.75;18218.75;18216.75;18218.75;2
20240307 065100;18216.5;18216.5;18216.5;18216.5;1
20240307 065200;18214.25;18214.25;18212.5;18212.5;2
20240307 065400;18218;18218;18218;18218;1
20240307 065600;18208.25;18208.75;18208.25;18208.75;3
20240307 065700;18201.75;18201.75;18201.75;18201.75;2
20240307 070000;18206;18206;18206;18206;1
20240307 070100;18202.75;18202.75;18202.75;18202.75;1
20240307 070200;18201.5;18201.5;18201.5;18201.5;1
20240307 070300;18197.25;18200.75;18197.25;18200.75;4
20240307 070400;18201.25;18201.25;18190;18197.25;12
20240307 070500;18194.75;18196.25;18192;18192;3
20240307 070600;18192.5;18192.5;18190.5;18190.5;4
20240307 070800;18190.75;18190.75;18190.75;18190.75;2
20240307 070900;18191.25;18191.25;18191.25;18191.25;1
20240307 071200;18192.5;18194.25;18192.5;18194.25;2
20240307 071300;18194;18194;18194;18194;1
20240307 071500;18190;18194.25;18190;18194.25;3
20240307 071600;18189.5;18189.75;18185.25;18189.5;10
20240307 071700;18187.75;18187.75;18187.75;18187.75;1
20240307 071800;18189.5;18189.5;18189.5;18189.5;1
20240307 071900;18187;18188.75;18187;18188.75;2
20240307 072000;18190.25;18190.25;18190.25;18190.25;1
20240307 072200;18191;18191;18191;18191;1
20240307 072300;18187.75;18188;18187.5;18188;4
20240307 072500;18192.5;18193.75;18192.5;18193.75;3
20240307 072700;18191;18191;18190;18190;2
20240307 073000;18190;18190;18190;18190;2
20240307 073100;18188.75;18188.75;18188.5;18188.5;16
20240307 073300;18190.75;18190.75;18190.75;18190.75;2
20240307 073700;18195;18195;18190.75;18190.75;3
20240307 073800;18186.25;18186.25;18185;18186.25;8
20240307 073900;18185;18185;18183.5;18183.5;5
20240307 074000;18190.75;18190.75;18190.75;18190.75;4
20240307 074100;18192;18192;18192;18192;1
20240307 074200;18195;18196.75;18195;18196.75;2
20240307 074500;18198;18198;18198;18198;1
20240307 075300;18204;18204;18204;18204;1
20240307 075500;18206.5;18206.5;18206.5;18206.5;1
20240307 075700;18201.5;18201.5;18201.5;18201.5;1
20240307 080100;18192.5;18197;18192.5;18197;2
20240307 080200;18197;18197.5;18196.5;18197.5;3
20240307 080400;18205.25;18205.25;18205.25;18205.25;1
20240307 080500;18204.5;18204.5;18203.25;18203.25;2
20240307 080600;18210;18213.25;18210;18213.25;3
20240307 080900;18206.5;18206.5;18202.5;18202.5;3
20240307 081100;18192.75;18192.75;18169.25;18169.25;15
20240307 081200;18165.5;18165.5;18165;18165;2
20240307 081300;18165;18166;18165;18166;2
20240307 081400;18171.25;18171.25;18171.25;18171.25;1
20240307 081500;18176;18177.5;18176;18177.5;2
20240307 081700;18182;18183;18182;18183;2
20240307 081800;18191.25;18193.25;18191.25;18193.25;2
20240307 081900;18189.75;18189.75;18185.25;18185.25;2
20240307 082000;18189;18189;18186;18186;3
20240307 082200;18200;18205;18200;18205;5
20240307 082400;18205;18205;18205;18205;1
20240307 082500;18207.25;18207.25;18207.25;18207.25;6
20240307 082600;18212.25;18212.25;18211.5;18211.5;6
20240307 082700;18216.25;18219.25;18216.25;18219.25;2
20240307 082800;18219.25;18220.25;18219.25;18220.25;2
20240307 082900;18222.25;18222.25;18222.25;18222.25;2
20240307 083000;18224.25;18224.25;18224.25;18224.25;1
20240307 083100;18217.75;18217.75;18217.75;18217.75;1
20240307 083300;18217.5;18217.5;18217.5;18217.5;2
20240307 083400;18214.75;18214.75;18214.75;18214.75;1
