20230907 040500;15581.5;15581.5;15581.5;15581.5;3
20230907 040800;15582.75;15582.75;15582.75;15582.75;1
20230907 041200;15581;15581;15581;15581;1
20230907 041600;15577.75;15577.75;15577.75;15577.75;1
20230907 041900;15577.5;15577.5;15577.5;15577.5;1
20230907 042100;15577.75;15577.75;15577.75;15577.75;1
20230907 042500;15578.25;15578.25;15578.25;15578.25;1
20230907 042600;15577.25;15577.25;15577.25;15577.25;1
20230907 042700;15575.5;15575.5;15575.5;15575.5;1
20230907 042800;15574;15574;15574;15574;1
20230907 043000;15573.75;15573.75;15573.75;15573.75;1
20230907 043200;15572.25;15572.25;15569.25;15569.25;12
20230907 043300;15569.25;15570;15566.25;15570;27
20230907 043400;15569.25;15569.25;15566.25;15566.25;5
20230907 043500;15564.5;15564.5;15562.25;15562.25;5
20230907 043600;15561;15561;15561;15561;1
20230907 043700;15559.75;15559.75;15558.25;15558.25;2
20230907 043900;15557.75;15558.5;15555.75;15558.5;13
20230907 044100;15558;15558;15556.25;15556.5;4
20230907 044200;15558;15558;15557;15557;2
20230907 044300;15556.25;15556.25;15555.25;15556;5
20230907 044400;15553.75;15553.75;15552.75;15552.75;31
20230907 044500;15552;15552.5;15551;15551;30
20230907 044600;15552.75;15552.75;15552.75;15552.75;2
20230907 044700;15550.5;15550.5;15550.5;15550.5;1
20230907 045000;15553;15553;15553;15553;1
20230907 045100;15553;15554;15553;15554;3
20230907 045500;15552.75;15553.5;15552.75;15553.5;4
20230907 045700;15555;15555;15555;15555;1
20230907 050500;15550.75;15550.75;15549.5;15549.5;8
20230907 050600;15549.5;15551;15549.5;15551;11
20230907 050700;15552.5;15552.5;15552.5;15552.5;1
20230907 050800;15553.75;15553.75;15553.75;15553.75;2
20230907 050900;15553.75;15553.75;15553.75;15553.75;1
20230907 051700;15553;15553;15553;15553;1
20230907 051800;15554.75;15554.75;15551;15551;2
20230907 051900;15550.75;15550.75;15550.75;15550.75;1
20230907 052100;15548;15548;15548;15548;2
20230907 052200;15545.5;15545.5;15545.5;15545.5;1
20230907 052300;15544.5;15545.75;15544;15544.5;5
20230907 052500;15543;15543;15543;15543;1
20230907 052600;15543;15543;15543;15543;2
20230907 052700;15544.75;15544.75;15544.75;15544.75;1
20230907 052900;15545.25;15545.25;15544.5;15544.5;2
20230907 053200;15542.5;15542.5;15542;15542;3
20230907 053300;15544.5;15544.5;15544.5;15544.5;1
20230907 053400;15544.25;15545.25;15544.25;15545.25;5
20230907 053600;15541.5;15541.5;15541.5;15541.5;1
20230907 053800;15541.5;15541.5;15540.75;15540.75;2
20230907 053900;15541.75;15542.5;15541.75;15542.5;2
20230907 054000;15543.75;15543.75;15541.75;15541.75;3
20230907 054100;15541;15543.75;15541;15543.75;5
20230907 054200;15546.5;15546.5;15545.5;15545.5;3
20230907 054300;15545.5;15545.5;15544;15544;2
20230907 054400;15545.75;15545.75;15543.25;15543.75;3
20230907 054500;15543.75;15544;15543.75;15544;2
20230907 054600;15542;15542;15542;15542;1
20230907 054700;15541.75;15541.75;15541.75;15541.75;1
20230907 054800;15540.75;15542.75;15540.75;15542.75;3
20230907 054900;15543;15543.75;15542.25;15543.75;4
20230907 055000;15541.5;15543;15541.5;15543;5
20230907 055100;15543.75;15543.75;15543.75;15543.75;1
20230907 055200;15543;15544.5;15542.25;15544.5;5
20230907 055300;15544.5;15545;15544.5;15545;3
20230907 055400;15544.5;15544.5;15544.5;15544.5;1
20230907 055500;15541.5;15541.5;15541.25;15541.25;2
20230907 055600;15537.75;15537.75;15537.75;15537.75;1
20230907 055700;15535.25;15535.25;15535;15535;5
20230907 055900;15537;15537;15537;15537;1
20230907 060000;15536.25;15537.75;15535.5;15537.5;10
20230907 060100;15538.5;15538.5;15538.5;15538.5;1
20230907 060200;15539.75;15539.75;15537.75;15537.75;3
20230907 060300;15537.5;15537.75;15535;15535;5
20230907 060400;15532;15532;15527.5;15528.75;12
20230907 060500;15531;15536.5;15531;15536.5;5
20230907 060600;15541.25;15541.25;15541.25;15541.25;1
20230907 060800;15536.25;15536.25;15535.5;15535.5;2
20230907 060900;15534;15534.5;15533;15533;3
20230907 061000;15530;15530;15530;15530;1
20230907 061100;15534;15534;15534;15534;1
20230907 061200;15527.25;15527.25;15525.5;15525.5;2
20230907 061300;15532.25;15532.5;15532.25;15532.5;2
20230907 061400;15531.5;15533;15530.25;15530.75;11
20230907 061700;15530.25;15530.25;15530.25;15530.25;2
20230907 061800;15529.25;15530;15528.25;15528.25;4
20230907 061900;15529;15529.25;15529;15529;3
20230907 062000;15530.25;15530.25;15529.5;15529.5;3
20230907 062100;15528.75;15528.75;15528.75;15528.75;1
20230907 062200;15528;15528;15528;15528;1
