20191208 230100;8431;8431;8429.75;8429.75;8
20191208 230200;8425;8425;8425;8425;1
20191208 230500;8427.75;8427.75;8427.75;8427.75;5
20191208 230700;8426;8426;8426;8426;1
20191208 231200;8428.25;8428.5;8428.25;8428.5;4
20191208 231300;8427;8427;8427;8427;1
20191208 231700;8428.5;8428.5;8426.75;8426.75;7
20191208 231800;8428.5;8428.5;8428.5;8428.5;1
20191208 231900;8428.25;8428.25;8428.25;8428.25;3
20191208 232000;8428.25;8428.25;8428.25;8428.25;2
20191208 232100;8428;8428;8428;8428;1
20191208 233400;8427;8427;8427;8427;1
20191208 233500;8426.5;8426.5;8426.5;8426.5;1
20191208 234400;8426;8426;8426;8426;1
20191208 235700;8425;8425;8425;8425;2
20191208 235800;8425;8425;8425;8425;1
20191209 000100;8424;8424;8424;8424;1
20191209 000300;8418;8418;8418;8418;3
20191209 000400;8418.25;8419;8418.25;8419;2
20191209 000600;8417.75;8417.75;8416.25;8416.25;3
20191209 000700;8416;8416;8413;8413.75;11
20191209 000800;8413.5;8413.5;8409;8409;17
20191209 000900;8409;8409.5;8406.5;8409.5;16
20191209 001000;8408.25;8408.25;8408.25;8408.25;1
20191209 001100;8409.5;8409.5;8408;8408;4
20191209 001200;8409.5;8409.5;8409.5;8409.5;1
20191209 001300;8413.75;8413.75;8413.75;8413.75;1
20191209 001500;8410.5;8410.5;8410.5;8410.5;2
20191209 001600;8411;8411.5;8411;8411.5;2
20191209 001700;8410;8410;8410;8410;1
20191209 001800;8409.75;8409.75;8408.5;8408.5;2
20191209 001900;8408;8408;8408;8408;1
20191209 002000;8407.75;8408;8407.5;8407.5;4
20191209 002400;8409.75;8410;8409.75;8410;2
20191209 002500;8407.75;8407.75;8407.75;8407.75;1
20191209 003800;8408;8408;8408;8408;1
20191209 004300;8409.25;8409.25;8409.25;8409.25;1
20191209 004400;8409.75;8409.75;8409.75;8409.75;2
20191209 004500;8410;8411;8410;8411;3
20191209 004600;8412.5;8412.5;8412.5;8412.5;1
20191209 004800;8410;8410;8410;8410;1
20191209 005000;8409.75;8409.75;8409.75;8409.75;1
20191209 005200;8409.5;8410.25;8409.5;8410.25;2
20191209 005300;8410;8410;8410;8410;1
20191209 005400;8407.75;8407.75;8407.5;8407.5;2
20191209 005600;8407.75;8407.75;8404.25;8404.25;3
20191209 005700;8405;8405;8405;8405;1
20191209 010100;8408.5;8408.5;8408.5;8408.5;2
20191209 010200;8410;8410;8408.75;8408.75;2
20191209 010400;8408.5;8408.5;8408.5;8408.5;1
20191209 010500;8408;8408;8408;8408;4
20191209 010600;8408;8408;8408;8408;2
20191209 010700;8405.75;8406;8405.75;8406;2
20191209 010900;8404.75;8406;8404.75;8406;2
20191209 011100;8407.25;8407.25;8406.75;8406.75;2
20191209 011400;8407.25;8407.25;8407.25;8407.25;1
20191209 011500;8405.75;8405.75;8405.75;8405.75;2
20191209 011600;8404.75;8404.75;8404.75;8404.75;1
20191209 011700;8408;8408;8406;8406;3
20191209 011900;8409.5;8409.5;8409.5;8409.5;1
20191209 012000;8411;8411;8409.5;8409.5;3
20191209 012100;8408;8408;8408;8408;1
20191209 012300;8408.75;8408.75;8408.75;8408.75;1
20191209 012800;8409;8409;8409;8409;1
20191209 013000;8406.75;8406.75;8406.75;8406.75;1
20191209 013100;8408.5;8408.5;8408.25;8408.5;3
20191209 013200;8407.75;8407.75;8407.75;8407.75;2
20191209 013300;8409.5;8409.5;8408.75;8408.75;3
20191209 013500;8409.75;8409.75;8409.25;8409.25;2
20191209 013600;8408.75;8408.75;8407.75;8407.75;2
20191209 013700;8407.75;8407.75;8407.75;8407.75;1
20191209 013900;8406;8406;8406;8406;1
20191209 014100;8404.25;8404.25;8404.25;8404.25;1
20191209 014200;8404;8404;8402.75;8402.75;3
20191209 014300;8403.5;8403.5;8403.5;8403.5;1
20191209 014500;8403.5;8405.5;8403.5;8405.5;4
20191209 014600;8404.25;8404.25;8404.25;8404.25;1
20191209 014700;8402.75;8402.75;8402;8402;7
20191209 015300;8401.25;8401.25;8401.25;8401.25;1
20191209 015900;8403.75;8404;8403.75;8404;2
20191209 020100;8404.5;8404.5;8404.5;8404.5;1
