20221208 050100;11603.75;11604;11602;11604;10
20221208 050200;11604.25;11606;11602.75;11602.75;17
20221208 050300;11602.75;11603.75;11602.5;11603.75;8
20221208 050400;11605;11605.25;11604;11604;7
20221208 050500;11603.5;11604;11602.75;11604;5
20221208 050600;11602;11603.25;11602;11603.25;3
20221208 050700;11602;11602;11600;11601.5;22
20221208 050800;11600.5;11600.5;11600.5;11600.5;1
20221208 050900;11600.5;11600.5;11600.5;11600.5;1
20221208 051000;11600.5;11600.5;11598.75;11598.75;12
20221208 051100;11598.5;11600;11597.75;11600;13
20221208 051200;11599.5;11599.5;11598;11598.5;5
20221208 051300;11597.5;11599.25;11597.5;11598.5;10
20221208 051400;11597.5;11599.25;11597.5;11598.5;9
20221208 051500;11597.5;11597.5;11597.5;11597.5;2
20221208 051600;11596.5;11598.5;11595;11598.5;14
20221208 051700;11599.25;11599.25;11598;11598;5
20221208 051800;11597.5;11597.5;11597.5;11597.5;1
20221208 051900;11598.5;11598.5;11596.5;11596.5;7
20221208 052000;11598;11598;11597.5;11597.5;2
20221208 052100;11599.25;11599.25;11597.5;11597.5;2
20221208 052200;11595.5;11595.5;11595.5;11595.5;1
20221208 052300;11595;11596.5;11595;11596.5;2
20221208 052400;11595;11596.5;11595;11596.5;6
20221208 052500;11596;11596;11596;11596;1
20221208 052600;11598.5;11598.5;11597.25;11597.25;5
20221208 052700;11597.25;11597.25;11597.25;11597.25;1
20221208 052900;11596;11596;11596;11596;1
20221208 053000;11598;11598;11596.5;11596.5;3
20221208 053100;11597.25;11597.25;11597.25;11597.25;1
20221208 053200;11597.5;11597.5;11596;11596;2
20221208 053300;11597.25;11600.25;11597.25;11599.25;6
20221208 053400;11599.25;11600.25;11599;11600.25;5
20221208 053500;11599.75;11602;11599.75;11602;4
20221208 053600;11601.25;11602.75;11601;11601.5;19
20221208 053700;11601;11601.5;11601;11601.5;2
20221208 053800;11601.5;11601.5;11601.5;11601.5;1
20221208 053900;11600.5;11600.5;11600.5;11600.5;1
20221208 054000;11599.75;11601;11599.75;11599.75;6
20221208 054100;11599.75;11599.75;11599.75;11599.75;2
20221208 054200;11599.5;11599.5;11599.5;11599.5;1
20221208 054300;11596.5;11596.5;11596.5;11596.5;3
20221208 054400;11595.5;11595.5;11595;11595;2
20221208 054500;11596;11596;11595.75;11595.75;3
20221208 054600;11596;11596;11594.75;11594.75;5
20221208 054700;11593.5;11593.5;11593.5;11593.5;1
20221208 054900;11594.25;11596;11593.75;11594.5;10
20221208 055000;11595.5;11596;11594.75;11594.75;7
20221208 055200;11596.5;11596.5;11595.75;11595.75;2
20221208 055300;11596.5;11598.5;11596.5;11598.5;3
20221208 055400;11597.25;11598.5;11597.25;11598.5;4
20221208 055700;11602.75;11605.25;11602.75;11605.25;14
20221208 055800;11606;11609.25;11606;11608;14
20221208 055900;11606.75;11607.75;11606.5;11607.25;9
20221208 060000;11607;11608.25;11606.25;11606.5;16
20221208 060100;11607;11607;11602.75;11602.75;14
20221208 060200;11602;11603.25;11601.5;11602;9
20221208 060300;11601;11603.5;11601;11603.5;6
20221208 060400;11603.75;11603.75;11602;11602;6
20221208 060500;11600.5;11603.5;11600.5;11603.5;10
20221208 060600;11602.75;11603.75;11602;11602.75;5
20221208 060700;11602.5;11602.5;11601.75;11601.75;6
20221208 060800;11601;11601.75;11600.5;11601.75;4
20221208 060900;11602;11602.5;11602;11602.5;3
20221208 061100;11601.25;11602;11601.25;11601.75;3
20221208 061200;11602.75;11605.25;11602.75;11605.25;4
20221208 061300;11606;11606;11603.75;11603.75;4
20221208 061400;11604.25;11605.25;11603.5;11603.5;7
20221208 061500;11604.25;11606.75;11604.25;11605.5;6
20221208 061800;11605.5;11605.5;11604.5;11605;4
20221208 061900;11606.75;11608.5;11606.75;11608.5;7
20221208 062000;11606.5;11606.5;11606.5;11606.5;2
20221208 062100;11605.5;11605.5;11605;11605;3
20221208 062200;11605;11605;11605;11605;1
20221208 062300;11606;11606;11606;11606;1
20221208 062400;11606;11608;11606;11608;6
20221208 062500;11608.5;11608.5;11608.25;11608.25;2
20221208 062600;11607.75;11608;11606.5;11608;5
20221208 062700;11608.5;11608.5;11608.5;11608.5;1
20221208 062800;11610;11610;11608.5;11610;3
20221208 062900;11609.25;11609.25;11608.5;11608.5;2
20221208 063000;11610.25;11610.25;11610.25;11610.25;1
20221208 063100;11611.25;11611.25;11610.25;11610.25;5
20221208 063200;11611.5;11615.5;11611.5;11615;17
20221208 063300;11613.75;11617;11613.75;11617;7
20221208 063400;11617.5;11618.75;11616.75;11618.75;16
20221208 063500;11619.5;11619.75;11618.25;11618.75;14
20221208 063600;11620.25;11621.75;11619.25;11621.75;5
20221208 063700;11621.75;11621.75;11621;11621;3
20221208 063800;11619.75;11621.25;11619.75;11621.25;7
20221208 063900;11621;11621;11619.25;11619.25;9
20221208 064000;11619.25;11621.75;11619;11619.75;37
20221208 064100;11619;11619;11618.25;11619;5
20221208 064200;11619.5;11619.5;11618.75;11618.75;5
20221208 064300;11618.75;11618.75;11617.75;11618.75;4
20221208 064400;11618.75;11618.75;11617.75;11617.75;2
